Фраза,URL,rating
Abkhazskaya Usadba Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid6334767/abkhazskaya_usadba/,"8,9"
Acalam Country Club Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid9226738/akalam_kantri_klab_2/,
Afon Resort Black Sea Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/novii_afon/mid8851390/afon_resort_hotel_novyi_afon/,"7,1"
Akua Resort Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/sukhumi/mid8664694/hotel_akua_rezort/,
Al Mare Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/pizunda/mid8754201/al_mare_otel/,8
Alex Beach Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid7715852/alex_beach_hotel_2/,8
Amina Beach Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/candriph/mid6331953/amina_beach_hotel/,8
Amore Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gudauta/mid8851389/amore_gudauta/,
hotel no name no country site:ostrovok.ru,https://ostrovok.ru/hotel/sri_lanka/unawatuna/mid6765710/no_name_rest_guest_house_/,
Anna Saria Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid8754326/anna_saria_guest_house/,
Apsuana Rose Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid8752758/apsuana_rose_otel/,9
Aqua Resort Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/machara/mid8754037/aqua_resort_otel/,"6,3"
Arda Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid8684641/hotel_arda_2/,"9,1"
Assir Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/sukhumi/mid8848383/assir_hotel/,
Belweder Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid8685403/belweder_gagra_guest_house/,
Capri Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/sukhumi/mid9931915/grand_hotel_suhum/,"9,4"
Captain Black Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/golden_bay/mid8684763/captain_black_hotel/,7
Castle Guest House Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/verkhnyaya_eshera/mid7303571/castle_guest_house_3/,
Club Hotels Dolphin Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/pizunda/mid8754547/delfin_13/,8
Del Mar Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/golden_bay/mid6837349/del_mar_hotel_2/,
Family Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/sukhumi/mid8561928/family_hotel_14/,
Gagra pension Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid8664032/pansionat_gagra/,"4,5"
Garuda Spa Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/sukhumi/mid10331990/garuda_boutique_hotel_2/,"9,1"
Gega Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid8414790/gega_hotel/,"7,5"
Grand Afon Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/novii_afon/mid8851825/grand_afonnovyi_afon/,6
Grand Hotel Gagra Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid8745905/grand_hotel_gagra/,"7,2"
Guest Castle Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/verkhnyaya_eshera/mid7303571/castle_guest_house_3/,
Guest House Sunrise Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid6345860/guest_house_sunrise_2/,
Higos Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/alakhadzi/mid9291319/higos_hotel/,"6,4"
